EV_Type,Program,Scenario,Year,Customer_Type,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%
LDV,DLC,flat,2025,new,132.05,134.15,136.33,138.56,140.80,143.09,145.47,147.86,150.31,152.84,155.37,158.00,160.69,163.45,166.29,169.20,172.15,175.18,178.34,181.56,184.87,188.34,191.83,195.48,199.26,203.12,207.19,211.35,211.35,220.20,224.91,229.77,234.85,240.27,245.81,251.74,257.92,264.39,271.37,278.73,286.51,295.02,304.03,313.78,324.38,336.00,348.73,362.99,379.15,397.22,418.55,443.68,473.26,511.34,559.77,623.70,623.70,714.17,1017.67,1278.72,1731.32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,flat,2030,new,126.27,127.59,128.92,130.28,131.67,133.09,134.55,136.00,137.50,139.06,140.60,142.20,143.84,145.52,147.23,148.99,150.76,152.61,154.50,156.42,158.41,160.46,162.52,164.69,166.93,169.18,171.56,173.99,173.99,179.12,181.84,184.63,187.55,190.59,193.72,197.03,200.47,204.07,207.86,211.86,216.03,220.51,225.29,230.27,235.76,241.54,247.82,254.69,262.17,270.50,279.78,290.26,302.51,316.80,333.84,355.50,355.50,384.59,494.85,631.04,920.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,flat,2035,new,120.86,121.74,122.64,123.57,124.49,125.44,126.41,127.40,128.41,129.44,130.47,131.54,132.64,133.76,134.90,136.07,137.25,138.47,139.73,141.00,142.31,143.67,145.04,146.47,147.93,149.43,150.98,152.57,152.57,155.91,157.69,159.47,161.37,163.34,165.34,167.48,169.65,171.98,174.38,176.87,179.56,182.36,185.28,188.42,191.77,195.25,199.09,203.18,207.63,212.51,217.82,223.74,230.45,238.15,246.97,257.63,257.63,271.09,313.69,357.95,482.58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,flat,2040,new,115.60,116.21,116.83,117.47,118.11,118.78,119.45,120.13,120.83,121.54,122.26,123.00,123.76,124.52,125.32,126.12,126.93,127.79,128.65,129.53,130.43,131.37,132.31,133.29,134.30,135.32,136.39,137.49,137.49,139.77,140.99,142.22,143.51,144.85,146.22,147.68,149.17,150.74,152.37,154.07,155.87,157.77,159.74,161.83,164.07,166.43,168.99,171.71,174.65,177.85,181.36,185.19,189.54,194.48,200.04,206.71,206.71,214.77,239.08,261.54,312.20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,flat,2045,new,112.39,112.80,113.21,113.63,114.05,114.49,114.93,115.38,115.84,116.32,116.79,117.28,117.78,118.28,118.80,119.34,119.87,120.43,120.99,121.57,122.17,122.78,123.40,124.05,124.71,125.39,126.08,126.81,126.81,128.31,129.10,129.91,130.75,131.62,132.53,133.48,134.45,135.48,136.55,137.65,138.83,140.06,141.34,142.70,144.17,145.69,147.34,149.11,150.99,153.06,155.32,157.76,160.54,163.64,167.20,171.37,171.37,176.42,191.03,203.88,229.85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,flat,2050,new,110.13,110.25,110.38,110.52,110.65,110.79,110.93,111.07,111.22,111.37,111.52,111.67,111.83,111.99,112.15,112.32,112.49,112.67,112.85,113.03,113.21,113.41,113.60,113.81,114.01,114.23,114.45,114.67,114.67,115.14,115.39,115.64,115.91,116.18,116.46,116.76,117.06,117.38,117.71,118.05,118.42,118.80,119.19,119.62,120.06,120.53,121.03,121.57,122.14,122.77,123.45,124.18,125.01,125.93,126.96,128.16,128.16,129.58,133.55,136.72,142.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,high,2025,new,130.89,131.80,132.73,133.68,134.64,135.61,136.61,137.61,138.64,139.68,140.74,141.80,142.90,144.02,145.16,146.30,147.49,148.68,149.91,151.15,152.43,153.70,155.04,156.39,157.78,159.18,160.65,162.10,162.10,165.18,166.77,168.39,170.07,171.80,173.56,175.40,177.26,179.18,181.17,183.22,185.31,187.51,189.75,192.13,194.55,197.08,199.70,202.47,205.29,208.29,211.42,214.72,218.15,221.78,225.59,229.70,229.70,234.05,243.61,249.02,254.73,261.08,267.94,275.62,284.28,293.75,304.71,317.29,332.23,349.77,371.74,398.75,434.06,479.13,538.75,615.92,719.84,866.01,1120.47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,high,2030,new,119.53,120.07,120.62,121.18,121.74,122.32,122.90,123.49,124.09,124.69,125.31,125.94,126.57,127.22,127.88,128.54,129.22,129.91,130.61,131.33,132.05,132.78,133.55,134.30,135.10,135.88,136.69,137.52,137.52,139.23,140.12,141.01,141.93,142.88,143.84,144.82,145.84,146.89,147.94,149.04,150.15,151.31,152.50,153.73,154.98,156.28,157.61,159.01,160.43,161.92,163.45,165.07,166.69,168.45,170.24,172.16,172.16,174.10,178.36,180.71,183.12,185.73,188.51,191.49,194.66,198.15,201.84,206.04,210.57,215.75,221.47,228.25,236.24,246.09,258.57,276.04,303.91,361.88,545.47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,high,2035,new,108.27,108.56,108.85,109.14,109.43,109.73,110.03,110.34,110.66,110.97,111.29,111.61,111.95,112.28,112.62,112.97,113.33,113.68,114.04,114.41,114.80,115.18,115.57,115.96,116.37,116.78,117.20,117.63,117.63,118.51,118.97,119.44,119.91,120.40,120.90,121.40,121.93,122.46,123.01,123.58,124.15,124.75,125.35,125.99,126.62,127.30,127.97,128.69,129.41,130.18,130.96,131.78,132.62,133.51,134.41,135.39,135.39,136.38,138.53,139.70,140.91,142.23,143.60,145.08,146.65,148.37,150.20,152.24,154.45,156.91,159.69,162.88,166.56,171.07,176.57,183.96,194.77,215.34,299.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,high,2040,new,97.12,97.24,97.37,97.49,97.62,97.75,97.89,98.02,98.16,98.29,98.43,98.58,98.72,98.87,99.02,99.17,99.32,99.47,99.63,99.79,99.96,100.12,100.29,100.46,100.64,100.82,101.00,101.19,101.19,101.57,101.77,101.97,102.18,102.38,102.60,102.82,103.04,103.27,103.51,103.75,104.00,104.26,104.52,104.79,105.06,105.35,105.64,105.94,106.25,106.58,106.91,107.26,107.61,107.99,108.37,108.78,108.78,109.19,110.10,110.59,111.10,111.64,112.20,112.82,113.46,114.16,114.91,115.72,116.60,117.59,118.67,119.89,121.29,122.93,124.90,127.39,130.69,135.87,146.77,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,high,2045,new,91.05,91.09,91.14,91.18,91.23,91.28,91.33,91.38,91.43,91.48,91.53,91.59,91.64,91.69,91.75,91.80,91.86,91.92,91.98,92.04,92.10,92.16,92.22,92.29,92.35,92.42,92.48,92.55,92.55,92.69,92.77,92.84,92.92,92.99,93.07,93.15,93.24,93.32,93.41,93.50,93.59,93.69,93.78,93.88,93.98,94.09,94.19,94.30,94.42,94.54,94.66,94.79,94.92,95.05,95.19,95.34,95.34,95.49,95.82,96.00,96.18,96.38,96.58,96.80,97.04,97.29,97.55,97.84,98.15,98.50,98.88,99.30,99.78,100.34,100.99,101.80,102.83,104.30,106.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,high,2050,new,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,low,2025,new,266.77,273.88,281.21,288.74,296.59,304.65,313.10,321.80,330.85,340.28,350.14,360.44,371.25,382.51,394.46,406.99,420.38,434.38,449.44,465.45,482.71,501.41,521.64,543.69,568.16,595.40,626.42,661.80,661.80,753.15,815.26,897.13,1014.65,1204.41,1560.07,2171.19,3027.79,4235.10,6299.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,low,2030,new,251.50,258.26,265.23,272.48,279.91,287.59,295.56,303.81,312.38,321.30,330.51,340.19,350.23,360.84,371.87,383.48,395.84,408.80,422.57,437.23,452.80,469.54,487.63,507.14,528.53,552.18,578.41,607.86,607.86,681.09,728.35,787.17,863.86,973.23,1152.62,1530.76,2308.92,3516.23,5580.15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
